sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Akan,ethnicity_Ewe,ethnicity_Ga/Dangme,ethnicity_Grusi,ethnicity_Guan,ethnicity_Gurma,ethnicity_Mande,ethnicity_Mole-Dagbani,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6,IF_7
1.301089,Akan,poorer,-18356,4,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.602178,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0002928866912246499
1.301089,Akan,richest,125155,4,"western, rural",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.505445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002714043228939243
1.258191,Akan,richest,132863,5,"western, rural",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.290955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002624558938137434
1.258191,Akan,richer,55120,5,"western, rural",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.032764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.056060575252105e-05
1.258191,Akan,poorer,-42084,5,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.516382,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00028322997036992365
1.258191,Akan,poorer,-42084,5,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.516382,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00028322997036992365
1.258191,Akan,poorer,-22367,5,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.516382,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00028322997036992365
1.258191,Akan,poorer,-28530,5,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.516382,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00028322997036992365
1.258191,Akan,poorer,-27136,5,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.516382,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00028322997036992365
1.258191,Akan,poorer,-78699,5,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.516382,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00028322997036992365
1.258191,Akan,middle,39960,5,"western, rural",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.774573,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00010133468230870128
1.258191,Akan,richest,156837,5,"western, rural",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.290955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002624558938137434
1.258191,Akan,poorer,-43488,5,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.516382,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00028322997036992365
1.258191,Akan,poorer,-63399,5,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.516382,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00028322997036992365
1.258191,Akan,poorer,-57388,5,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.516382,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00028322997036992365
1.258191,Akan,middle,39707,5,"western, rural",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.774573,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00010133468230870128
1.258191,Akan,middle,39707,5,"western, rural",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.774573,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00010133468230870128
1.258191,Akan,poorer,-36941,5,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.516382,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00028322997036992365
1.258191,Akan,poorer,-36941,5,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.516382,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00028322997036992365
1.258191,Akan,poorest,-142657,5,"western, rural",1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.258191,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00046512525843114594
1.258191,Akan,middle,28635,5,"western, rural",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.774573,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00010133468230870128
1.258191,Akan,middle,44668,5,"western, rural",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,3.774573,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00010133468230870128
1.258191,Akan,poorer,-50144,5,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.516382,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00028322997036992365
1.258191,Akan,richer,57488,5,"western, rural",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.032764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.056060575252105e-05
1.436135,Akan,richer,47202,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.74454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.195416716730353e-05
1.436135,Akan,richer,66750,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.74454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.195416716730353e-05
1.436135,Akan,richer,92979,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.74454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.195416716730353e-05
