sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Albanian,ethnicity_Macedonian,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1
0.17191605320068987,Macedonian,richer,0.6264372799505533,60.0,5.0,0,1,0,0,0,1,0,4.0,0.6876642128027595,0.0,1.2768335871254908e-05
0.17191605320068987,Macedonian,richer,0.6264372799505533,60.0,5.0,0,1,0,0,0,1,0,4.0,0.6876642128027595,0.0,1.2768335871254908e-05
0.17191605320068987,Macedonian,richer,0.6264372799505533,60.0,5.0,0,1,0,0,0,1,0,4.0,0.6876642128027595,0.0,1.2768335871254908e-05
1.1650651825931462,Macedonian,richer,0.8757837702236895,60.0,5.0,0,1,0,0,0,1,0,4.0,4.660260730372585,0.0,8.65302761801335e-05
1.1650651825931462,Macedonian,richer,0.8757837702236895,60.0,5.0,0,1,0,0,0,1,0,4.0,4.660260730372585,0.0,8.65302761801335e-05
1.1650651825931462,Macedonian,richer,0.8757837702236895,60.0,5.0,0,1,0,0,0,1,0,4.0,4.660260730372585,0.0,8.65302761801335e-05
1.1650651825931462,Macedonian,middle,0.4798690562342023,60.0,5.0,0,1,0,0,1,0,0,3.0,3.4951955477794385,0.0,-3.892792875887243e-05
1.1650651825931462,Macedonian,middle,0.4798690562342023,60.0,5.0,0,1,0,0,1,0,0,3.0,3.4951955477794385,0.0,-3.892792875887243e-05
1.1650651825931462,Macedonian,middle,0.4798690562342023,60.0,5.0,0,1,0,0,1,0,0,3.0,3.4951955477794385,0.0,-3.892792875887243e-05
1.1650651825931462,Macedonian,middle,0.3622467446920687,60.0,5.0,0,1,0,0,1,0,0,3.0,3.4951955477794385,0.0,-3.892792875887243e-05
1.1650651825931462,Macedonian,middle,0.3622467446920687,60.0,5.0,0,1,0,0,1,0,0,3.0,3.4951955477794385,0.0,-3.892792875887243e-05
1.1650651825931462,Macedonian,middle,0.3622467446920687,60.0,5.0,0,1,0,0,1,0,0,3.0,3.4951955477794385,0.0,-3.892792875887243e-05
1.1650651825931462,Macedonian,middle,0.3622467446920687,60.0,5.0,0,1,0,0,1,0,0,3.0,3.4951955477794385,0.0,-3.892792875887243e-05
1.1650651825931462,Macedonian,middle,0.3622467446920687,60.0,5.0,0,1,0,0,1,0,0,3.0,3.4951955477794385,0.0,-3.892792875887243e-05
0.17191605320068987,Macedonian,richest,1.1506656089728347,60.0,5.0,0,1,0,0,0,0,1,5.0,0.8595802660034493,0.0,3.128084466218071e-05
0.17191605320068987,Macedonian,richest,1.1506656089728347,60.0,5.0,0,1,0,0,0,0,1,5.0,0.8595802660034493,0.0,3.128084466218071e-05
0.17191605320068987,Macedonian,richest,1.1506656089728347,60.0,5.0,0,1,0,0,0,0,1,5.0,0.8595802660034493,0.0,3.128084466218071e-05
0.17191605320068987,Macedonian,richest,1.1506656089728347,60.0,5.0,0,1,0,0,0,0,1,5.0,0.8595802660034493,0.0,3.128084466218071e-05
1.1650651825931462,Macedonian,middle,0.23219979075368002,60.0,5.0,0,1,0,0,1,0,0,3.0,3.4951955477794385,0.0,-3.892792875887243e-05
1.1650651825931462,Macedonian,richest,0.9542899990071935,60.0,5.0,0,1,0,0,0,0,1,5.0,5.825325912965731,0.0,0.00021198848111913943
1.1650651825931462,Macedonian,richest,0.9542899990071935,60.0,5.0,0,1,0,0,0,0,1,5.0,5.825325912965731,0.0,0.00021198848111913943
1.1650651825931462,Macedonian,richest,0.9542899990071935,60.0,5.0,0,1,0,0,0,0,1,5.0,5.825325912965731,0.0,0.00021198848111913943
0.17191605320068987,Macedonian,middle,0.4132604406071032,60.0,5.0,0,1,0,0,1,0,0,3.0,0.5157481596020697,0.0,-5.7441729196708955e-06
1.1650651825931462,Macedonian,middle,0.4173312250564919,60.0,5.0,0,1,0,0,1,0,0,3.0,3.4951955477794385,0.0,-3.892792875887243e-05
