sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Chinese-Tibetan,ethnicity_Hmong-Mien,ethnicity_Lao-Tai,ethnicity_Mon-Khmer,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3
1.790370699937001,Lao-Tai,richest,1.638832153475819,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.790370699937001,Lao-Tai,richest,1.572185589018667,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.790370699937001,Lao-Tai,richest,1.6518930673663674,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.790370699937001,Lao-Tai,richest,1.6518930673663674,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.790370699937001,Lao-Tai,richest,1.5062370753530039,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.790370699937001,Lao-Tai,richest,1.5062370753530039,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.790370699937001,Lao-Tai,richest,1.6470140172318852,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.790370699937001,Lao-Tai,richest,1.6470140172318852,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.790370699937001,Lao-Tai,richest,1.6470140172318852,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.790370699937001,Lao-Tai,richest,1.6642999292656224,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.790370699937001,Lao-Tai,richest,1.35257491088751,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.790370699937001,Lao-Tai,richest,1.35257491088751,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.790370699937001,Lao-Tai,richest,1.7524995563778405,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.790370699937001,Lao-Tai,richest,1.3857914737766366,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.790370699937001,Lao-Tai,richest,1.4039328758357208,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.790370699937001,Lao-Tai,richest,1.4039328758357208,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.790370699937001,Lao-Tai,richest,1.4039328758357208,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.790370699937001,Lao-Tai,richest,1.1391832955966357,5.0,1.0,0,0,1,0,0,0,0,0,1,5.0,8.951853499685004,0.0,0.0,0.0,0.00015700708201766726
1.190693983250765,Lao-Tai,richest,1.5950452736434757,6.0,1.0,0,0,1,0,0,0,0,0,1,5.0,5.953469916253825,0.0,0.0,0.0,0.0001044182570083246
1.190693983250765,Lao-Tai,richest,1.651852458027804,6.0,1.0,0,0,1,0,0,0,0,0,1,5.0,5.953469916253825,0.0,0.0,0.0,0.0001044182570083246
1.190693983250765,Lao-Tai,richest,1.5468056785114959,6.0,1.0,0,0,1,0,0,0,0,0,1,5.0,5.953469916253825,0.0,0.0,0.0,0.0001044182570083246
1.190693983250765,Lao-Tai,richest,1.6004139973682814,6.0,1.0,0,0,1,0,0,0,0,0,1,5.0,5.953469916253825,0.0,0.0,0.0,0.0001044182570083246
1.190693983250765,Lao-Tai,richest,1.601956743645142,6.0,1.0,0,0,1,0,0,0,0,0,1,5.0,5.953469916253825,0.0,0.0,0.0,0.0001044182570083246
1.190693983250765,Lao-Tai,richer,0.964524635118078,6.0,1.0,0,0,1,0,0,0,0,1,0,4.0,4.76277593300306,0.0,0.0,0.0,2.02338277624305e-05
1.190693983250765,Lao-Tai,middle,0.37898378038338865,6.0,1.0,0,0,1,0,0,0,1,0,0,3.0,3.5720819497522953,0.0,0.0,0.0,-6.39506014834636e-05
